elevation,slope,aspect,curvature,TWI,SPI,TRI,TPI,convergence,NDVI,LULC,rainfall,dist_river,stream_density,dist_roads,LS_factor,lithology,flood
734,23.497406,155.81555,1.0,7.738422269057472,434.75854274752015,22.047647616743838,-6.0639999999999645,51.256764320018625,-0.099147946,30,2306.21667642612,42.42640687119285,0,0.0,1480.6567370477935,1,1
589,10.752767,140.10033,368.0,8.563729609789899,189.90595950282597,27.878484114872915,-55.36800000000005,84.83089446171061,-0.19783057,80,2407.266181245446,174.92855684535903,0,30.0,258.1758262612974,1,1
927,3.2868972,189.41118,148.0,9.747677804729182,57.43019262467233,19.66446943155773,-21.536000000000058,78.63522526405939,0.3371883,60,2636.206805050373,0.0,0,30.0,3.459099318672408,1,1
508,4.5045414,107.95171,57.0,9.436219403784877,78.78146060184659,14.567848922274772,-10.639999999999873,71.11169393438652,0.003543586,60,2604.9459233283997,0.0,0,30.0,318.21853965508615,1,1
2694,44.03454,354.998,213.0,6.9404288847704905,966.8544101175147,90.73281900417535,-25.576000000000022,144.81686120036423,0.6898096,10,2701.084841489792,1405.8449416631977,0,0.0,0.9076891967751223,5,0
2618,47.971317,1.9352412,-118.0,6.802949373297969,1109.4950486600271,73.35824492697014,17.408000000000357,156.0183891879266,0.7269204,10,2701.084841489792,1321.3629327327144,0,0.0,49.45711295505929,5,0
2388,36.12407,12.606121,-115.0,7.221293823215243,729.8562081686417,50.7406866720411,19.728000000000065,148.61745412057957,0.7296182,10,2579.2353380918503,1230.0,0,0.0,51002.2612515187,4,0
1793,48.242577,261.27194,47.0,6.793433177095345,1120.1131794032538,64.74184251965302,-22.87200000000007,22.93711556971781,0.7005374,10,2185.6044740229845,1273.4991166074674,0,0.0,107.59090723962701,3,0
2608,50.950073,266.23526,-297.0,6.697738065618925,1232.6992958880473,81.31967098364878,44.503999999999905,57.732396860030484,0.47537583,30,2471.400451749563,1023.9628899525608,0,0.0,32.31466842052731,5,0
2248,41.089573,329.67657,246.0,7.043534714816145,872.0351715288226,68.55654600401044,-30.0,143.59483990685717,0.77865136,10,2362.3764704465866,1087.4741376235115,0,0.0,7.089164718837802,4,0
2703,45.19308,336.42038,-12.0,6.900022643190253,1006.762609829658,65.15963303900489,-0.9279999999998836,155.38476560063512,0.81412077,30,2394.161018848419,1247.7980605851253,0,0.0,149.84308701961115,5,0
2028,57.15373,276.60126,-932.0,6.469534136915249,1548.9476281451834,99.84667257696444,98.87200000000007,14.832159682226544,0.51178527,10,2185.6044740229845,1194.7384651043926,0,0.0,26.05025648326838,4,0
2456,34.6172,331.5691,61.0,7.276941136006874,690.2969161218515,45.455173957491404,-10.488000000000284,146.21052863217096,0.7797071,10,2726.2360446453094,1002.6464980241042,0,0.0,1.0795754582492487,4,0
1744,47.853355,294.67975,382.0,6.807084657227649,1104.912318307513,72.23128148310496,-52.33600000000001,29.750807786283293,0.61456186,10,2185.6044740229845,1145.5129855222071,0,0.0,36.3678611701244,3,0
